20230314	17:02:02	f7acd0ad-bd6e-4f2e-a344-c8d74c81e9b5	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:02:02	218700fa-95da-4f14-8e30-74748204a7bd	POST	http://localhost:3000	/auth	 ,
20230314	17:04:49	8277c716-6b39-4c1b-bfb0-de9005dbd131	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:04:49	001542bd-51d0-4d9d-a818-5b44b009c762	POST	http://localhost:3000	/auth	 ,
20230314	17:09:48	1f7f282a-d777-497d-b737-ea64a2aabaca	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:09:48	c61512c5-5ec3-4791-bdfc-d06ba107f6b9	POST	http://localhost:3000	/auth	 ,
20230314	17:14:15	a3004c89-4c30-4849-86b3-d87034af471a	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:14:15	52bfea4c-96c4-4832-bd66-5ab52104f8ba	POST	http://localhost:3000	/auth	 ,
20230314	17:15:07	56348bc0-0cfd-413e-91dc-fb0de552a93d	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:15:07	9f062cb3-038c-4a43-a9fd-b613d9c67e3e	POST	http://localhost:3000	/auth	 ,
20230314	17:16:09	d22e3896-673d-4dba-8b90-5258c9eaae4d	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:16:09	8f999e20-284f-40ad-807d-b9f424c39091	POST	http://localhost:3000	/auth	 ,
20230314	17:16:29	8dc16430-ea68-4ac0-89a5-8b9924087c89	OPTIONS	http://localhost:3000	/products	 ,
20230314	17:16:29	0f0f57d1-8318-46ba-a1ea-a90f34710b46	GET	http://localhost:3000	/products	 ,
20230314	17:28:05	a2e2d04e-d7e2-43b1-8cda-13e4a310b3bb	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:28:06	8e100a47-7c42-4957-a8c6-4f3ead0d756b	POST	http://localhost:3000	/auth	 ,
20230314	17:30:50	7b1986e1-5cf4-40a5-8e9f-b7838a321ead	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:31:00	f9e97434-dab4-4a53-9f74-d59bdd4a72e7	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:31:19	e800f5d7-6f21-4c66-af30-5e9ab6c212a6	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:31:19	615d2791-62ff-44e9-bfd1-aca4f1dee0e8	POST	http://localhost:3000	/auth	 ,
20230314	17:33:10	74d792b4-b9f7-48c9-9649-56c7b2c44730	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:33:10	64d275fa-0f62-40c1-9248-8540b774383f	POST	http://localhost:3000	/auth	 ,
20230314	17:34:55	d1e759fc-6aff-4f3b-be95-039060af5376	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:34:55	52145512-0cd2-4d03-8bfb-d3c6de22e977	POST	http://localhost:3000	/auth	 ,
20230314	17:41:20	216d2555-b346-4b98-a6a4-fa1075548c29	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:41:20	732e08f7-88a4-4343-90c6-b1a444fdcbd0	POST	http://localhost:3000	/auth	 ,
20230314	17:44:05	399446cd-c8e4-4674-8446-283bd16c5ea2	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:44:05	4ecf796a-b3e4-48fb-afc9-dd64e17775e1	POST	http://localhost:3000	/auth	 ,
20230314	17:46:57	106f39dd-6a16-4589-85ff-a8c61d5c14ac	OPTIONS	http://localhost:3000	/auth	 ,
20230314	17:46:57	bd4d85c4-416f-4d4c-9497-d790bb62362e	POST	http://localhost:3000	/auth	 ,
20230315	13:10:44	c49ff379-0906-4612-95b9-71b9d02b125c	OPTIONS	http://localhost:3000	/auth	 ,
20230315	13:10:44	df046769-6249-4144-80b0-d7b46c2265b0	POST	http://localhost:3000	/auth	 ,
20230315	13:10:53	417f9081-1fff-4330-918c-50c42d9f3922	OPTIONS	http://localhost:3000	/auth	 ,
20230315	13:10:53	4b2e6715-956d-4161-a3e0-a73f190f37fa	POST	http://localhost:3000	/auth	 ,
20230315	13:10:59	1639e678-ac01-4516-821c-09d1c527b327	OPTIONS	http://localhost:3000	/auth	 ,
20230315	13:10:59	80cb1d79-b285-401f-bcf3-5476d7a3db0b	POST	http://localhost:3000	/auth	 ,
20230315	13:11:06	651ec1db-1099-4a61-87ea-b4ddffdc28b6	OPTIONS	http://localhost:3000	/auth	 ,
20230315	13:11:06	790120cc-5ee2-4788-9c79-8520df7dc122	POST	http://localhost:3000	/auth	 ,
20230315	13:11:07	602f018f-329a-4bca-884c-71927a804e64	POST	http://localhost:3000	/auth	 ,
20230315	13:11:08	e03f22b7-69e1-46d5-ad94-d678b2dc8cdc	POST	http://localhost:3000	/auth	 ,
20230315	13:11:08	21d02e87-1e00-4f9f-a971-41f55b300949	POST	http://localhost:3000	/auth	 ,
20230315	13:11:08	c0d26e12-b955-4ca1-840c-f479053f665d	POST	http://localhost:3000	/auth	 ,
